content,score
Latest update deleted all my tasks and lists! Have to start all over and try to remember what my list items were. I'll be looking for a new app.,1
Features for the free version are just disappointing.,1
Locking basic features behind a paywall is kinda weird,1
Soo awkward i can't able to sign *up* 😭 Sick app,1
Hangs when setting up Google Assistant,1
Subscription?? How does this application figure that it can be a subscription application? Ridiculous Update after developer response: This is not a subscription application. You are not Netflix or Adobe. This should be a standalone app quit trying to milk people's money. You can say anything you want. THIS WILL NEVER BE A SUBSCRIPTION APPLICATION. STOP BEING RIDICULOUS.,1
good,1
"Hopeless customer service. I paid for the premium version, had a problem with its sharing function, emailed customer support for a solution, was told it would take 2 business days for a response (which was hopeless enough), now over 5 business days later I've not received a response.",1
Duplicates files attached and you have to constantly delete. FIX THE BUGS.,1
Used to work so well earlier. Now it doesn't work at all!! Junk!!,1
Frustrating. Apparently its meant to sync grocery lists with Google home but doesn't. Absolutely no info on how to set it up,1
Too complicated to use,1
Forced sign in,1
Work on it,1
"I should have looked through ""most recent"" instead of ""most relevant"" reviews. It's far too limited for me in it's free state and I'm not interested in paying for a subscription just to unlock what should be basic functionality in a to do list app.",1
do not for showing or refund&refuse about my persional privacy.,1
"It doesn't have sub lists, e.g. ""child/school"", ""child/health"" so you see too many lists or too many tasks at once (which is overwelming).",1
Not usefull and even they charge some money :),1
This app is absolutely useless. Because of this i missed an important event because the reminder alarm supposedly forgot to rang. Its pathetic and useless.,1
Is the app or web platform down today? Can't seem to login either.,1
Have to pay for daily reminders... My phone does that free,1
The app is amazing - but the vibrations! So annoying!! Pls let me turn them off.,1
Dipak day Cox,1
Very bad,1
Location reminders don't work in medium power saving mode.. And all I got in reply was a copy paste solution and a trouble shoot link.,1
Fed up with interruption in each matter I note. Not worth the while HAVING there are far too many condescending workers out inte cyber world who refuse to take no for an answer.,1
"Really dissappointed in this app. Was using it to schedule my customers appointments. As soon as the new version came out, I lost everything. Going back to paper as at least my paper won't delete everything. A terrible app for business owners and scheduling appointments. Absolutely horrible and I'm very angry.",1
Thanks to your stupid update I lost ALL of my appointment dates... Terrible garbage.,1
"I miss Cal. The updates destroyed it, turned this into a cookie-cutter to-do app. It's a shame.",1
Was great but can't connect with other people since last update. Invite will go out and will even receive the invitation but doesn't link and have had no luck with customer support,1
I WAS TRYING FOR DAYS TO UN SUBSCRIBE. BUT OF COURSE THAT I was charged. Absolutely no support. Horrible and disgusting tactics,1
"Update ruined app Last update re-formatted the ""Plan My Day"" function so the ability to schedule tasks for that day or postpone into the future is unusable, so I have 50+ tasks and to way to arrange them into a comprehensive order. Contacted the developer who emailed me back after 4 days asking for a screenshot of the problem, so I sent it right back. 3 days later - no response from the developer, no fix, nothing. Update9/8: no fix, moved to aCalTasks +",1
👎,1
"Does not do weekly reminders correctly. I opened a bug report, and was told that it was a known bug. A reminder app that gets reminders at the wrong time is a big 'no' from me.",1
"In app purchases significantly impact experience. £16 a year for features such as recurring tasks, you're having a laugh",1
You need an account because they want to track your cookies for ads,1
Need to create an account to use it.,1
"Is NOTHING free anymore??. It looks like a good app but as soon as you open it, it gives the subscription rates 🤬🤬🤬🤬. I uninstalled immediately. Don't bother. Believe it or not, some people don't enjoy being nickle and dimed!",1
Very bad,1
Pratz,1
i sent an ivite to people and everyone got over 50 emails for the one invite. What a joke of a an app.,1
I have to sync whatttt gtfohhhhhh,1
Bring back my money! Why your system stolen my money from pending subscribe? Without confirmation and notification!!!! Wheres my money???,1
WHY IS THIS SO BUGGY NOW? WHY ARE YOU NO LONGER REALLY BEING ATTENTIVE TO QUALITY CONTROL? CANT DELETE TASK ON ONE TRY. CAN NO LONGER DELETE FINISHED TASKS WITHOUT SEVERAL ATTEMPTS. ALL COMMANDS ARE HESITANT. ALL COMMANDS REQUIRE MULTIPLE ATTEMPTS. I HAVE EMAILED YOU 3 TIMES WITH NO RESPONSE. PLEASE ADVISE.,1
Hum hai al Ghj,1
Shabab,1
Makes simple things extremely complicated,1
Even after your response it doesn't change the fact that you are required to have an account to proceed. The reasoning that others do it is negligible. Only way I would rate this app better is if you had an Anonymous auto log in that can be converted to a full account on sign up or log in.,1
The latest update now not working fine at all. It's worsening day by day. The developers now appears to have a different intention that premium paid version is purchased by the users.,1
Just use your basic phone calendar,1
I want to cancel the subscription.,1
MoneyGrabber Wants you to pay premium to choose specific dates.,1
Does not do much different than Google tasks (which is easier to use and is free). As a result I wanted a refund as I only realized this after my 7 day trial. Refunds are only given within 24 hours of their drawing their fee. Not sure that is legal for an automatic subscription after app trial.,1
"Bekaar... bagwas.. time waste... useless.. and asking for payment, before use anyway",1
Useless app... Set up 8 reminders during a course of 4 days and not once received any notification! Waste of money.,1
Subscription!!!,1
"This app met my needs until this latest update. Dislike the new format to such a degree that it's a dealbreaker. Now I have to start from scratch researching apps to find a replacement. I know, I used the free version so you don't care if I go but this is such a disappointment.",1
It syncs EVERYTHING. terrible. you have to get the pro version in order to be able to do anything actually worth while!!!,1
I don't found usefulness,1
"In the calendar of Any.do, 1st of August is marked as bakr-Id, but 22nd August is not marked as Ganesha chaturthi! Is there a specific reason? or was it conveniently forgotten? Developer, please do respond. Because it depends on your response whether to buy it or not?",1
Its a good app but the app keeps crashing when i allow this app to add to my calendar. After adding it to calendar then yhis app doesnt open. Keeps crashing,1
"Saying free and simple is not telling people it is a 7 day free trial especially at Google play store and people only know it's a 7 day free trial after they download it. So why won't Google do anything about this app developers not mention their apps have a trial period, which results in people downloading apps for nothing. PS 95% of the app is free, until the trial period finishes.",1
"Scam premium that bypasses GooglePlay, On the mobile app you can only buy 1 year of premium while on the website a monthly payment is possible. People buy the monthly more often and the developer listed it on its personal website only to bypass google fee, thus i need to link my card on their site too",1
"This new layout is just awful. Just ridiculously awful. I cannot in any way fathom how this got a thumbs up from anybody. Bye bye Any.do, I'm off to download something that wasn't designed by a nine year old.",1
You have to open an account with them. I won't be going there. Would be nice to be given the choice.,1
"There is no option to delete the account. If i don't find this app useful, you guyz will keep my data? This is against the policies and norms",1
Efvig,1
Sorry way to complicated. And why would you think I want my information out on your servers? Wanted to create a weekday event spent more time trying to figure out how to do that than it took to write in a diary.,1
Super,1
Worked great for a few years and then the past couple of months it eats anything added to the list! I can sit and watch things drop off before my very eyes!,1
Way over priced for what it does. Not worth it!!,1
Delete application,1
Laggy responses to resolved items and errors in recurring reminders,1
Nice app,1
No new it's repeated app,1
It stop working and I try to reinstall it but same problem,1
"Automatically shows the reminder Snackbar when I open other apps without me setting it up, what kind of violation is this??? Stop bugging your users unsolicitedly. Uninstalled",1
"I love this app, but I do have one major gripe - I want an option to buy premium once (even at a higher price) and not as a monthly or yearly subscription. Edit - very unhappy with developer response to pricing. I want to buy premium for this great product they made, but it's NOT a service. This isn't Netflix. You're going to turn potential buyers away with this pricing model",1
Atleast make a few features available .. if the customer donot like the app at initial stage than how would he/she ever think about going premium,1
"Requires a sign up for features I have no interest in using, but can't opt out of.",1
Did not sign up. App not even on my phone. This payment deduction will be reported and I request you refund my money immediately.,1
Autofill on Android 10 does not work,1
"Had charged twice but still not getting premium version access,",1
Have have to make an account in order to use this app. There is no way around it.,1
"Creating an account is supposed to ALLOW you, not FORCE you. Uninstalled without trying it",1
Stop Adding Groceries Items Like an Ad,1
Bakwas app,1
"I don't get task notifications anymore!!! This app has become useless. I have uninstalled and reinstalled, turned on / allowed notifications in the settings yet nothing.",1
Good improvements but still don't have nag or presisitent reminders. I missing a lot reminders accidentally,1
"Useless, ring bells only one time, and not a good reminder",1
Having to pay to set a recurring task is ridiculous and essentially makes the app useless to anyone who doesn't want to pay so this essentially is not a free app.,1
There is some issue in payment.,1
Too complicated. I need a plan to plan tasks.,1
Everything it expects you to pay,1
"This app is useless unless you make the monthly payment, in that case does exist other app free and only with the essential",1
Too many features locked behind premium.,1
Worst app,1
"I have the same recurring tasks to do every day. I need a to-do-list reminder to buzz me when it's time. The problem with this app, is that those reminder times somehow start drifting every day, giving me different times the next day! That is an annoying fail! Screw it, I'm going elsewhere. if I find a better app, I'll let you guys know. UPDATE : Suggestion did not work, and I found an app, that does not drift. I have moved on.",1
"OMG the UI is awful, seriously you have popup for premium every 2 seconds, there's no intuitive way see a normal calendar, you have to create an account even if you don't want to, the app is beautiful but show screen where it's impossible to understand what you have to do. It's a calendar, show a f... calendar.",1
Not good,1
"Trash. Yes, it has some nice nifty features but it lacks in complete necessities to actually plan your day. You can make a task, perfectly include subtasks and then add a nice color to the task. But no yellow, because that's already the fixed color of the 'priority label'. Reminders are great, except you can only have one. If I want to have a reminder on Wednesday 10AM and a reminder on Friday 6PM, I'd need a different app. Because this app only allows you to set 1 reminder. Frustrating. 0/10",1
"Is it necessary to sign up account? While making a new account it's shows error ""oops try again later""",1
I've been using the app for a while and since last week it has been acting weird. I don't receive reminders anymore and it's completely a waste of time to set reminders! Not very reliable right now,1
"While it's nice program, I can justify paying for it in perpetuity. That's just insane.",1
Have to pay for recurrent daily task.. which is the main purpose of that app.,1
"List sharing sharing is not working. UX is straight from iOS app, terrible",1
"Worst app I have ever used, it doesn't do anything.",1
Raben nat s7,1
First thing that happened upon opening is asking for payment. Good job.,1
"I do not have much to say in regards to the app itself. It seems to function fine, but it was not the calendar app that I needed. The reason I am giving it 1 star is because I canceled my subscription and account within the seven day free trial and still got charged the yearly rate. The problem has been reported to the company. I will keep this review updated with any action from Any.Do. UPDATE: The gist of the problem is this. Any.do makes it very difficult to find out how to cancel the sub.",1
"Unable to register with an email. Clicking""continue with email"" will just take you to a login page. Complete waste of time. I searched them first three pages of Google for a solution and found nothing. Found no solution on their help section. I don't want to register with Facebook or Google. If you include a feature, make sure it actually works.",1
"My backup is gone, very important data deleted",1
"Any.Forget... Had an instance of daily repeating event, that I have marked as complete today and somehow it did skip the next day and only proceeded to the day after. Kind of ""daily event with some days skipped"". So useless to me as can't be trusted for notifying about daily routine tasks. P.S. don't tell me I don't know how to setup a recurring event!!",1
"It works okay, But I did not consent to subscribing at $28/year subscription. I thought I purchased it until I saw that it was renewed for an additional $28. It's definitely not worth that price. Very angry and ripped off. I got charged twice for something that I thought I bought outright. I will never buy anything from them. Ever",1
Very slow app it took me 10 min just to start the app....,1
"Updates made that are not fully tested. They need to add option to revert back to the olddd verison. that was simple to use, but most importantly it worked.",1
Anydo,1
"App loding ke baad peese maang raha hai, pahle bataaye , data kyo kharaab karwaya",1
"Ruined the app by trying to get too fancy. My wife has also become frustrated with it. She has had it since it started and now struggles with it. You should be able to add a task then go straight to set time/day. But instead, you have all the other short cuts there that really aren't.",1
I could not have any expirions about this app,1
Terrible App. Don't waste your money.,1
I couldn't use it,1
Looks like a pretty good app but it doesn't sync with Alexa. Which is the main reason I installed it. Shouldn't be this difficult.,1
"Forces you to sign up and use credentials, uninstalled.",1
Hf,1
Most useless app ever used! Very difficult to save anything or find anything! Put some tasks didn't get any reminders so didn't do it! Erasing this nonsense Can't even save this review,1
Its a great app but I dont receive any events notification although I have allowed the notification to come through from this app. I really don't understand why because I have set everything correctly.,1
Virender.kumar,1
Useless,1
Price is high,1
"Under subtitle *security* ""However, please note that we cannot guarantee that the information will not be exposed as a result of unauthorized penetration to our servers"" Sorry no thanks.i just downloaded but after reading privacy policy i prefer going thru •Google official •one & app like calendar required lot of access ,&i personally don't wanna bleach my data like this..btw the tq for placing the info it to let us know :)",1
Bad app,1
Tried doing all the settings as per ur guidence.. but app is not supporting popups in lock screen.. everytime I have to unlock my screen to check the event..,1
"This is an overengineered list keeping app that I hate. I kept it for years in spite of that because I was in the ecosystem, but today it locked me out of my grocery list so good riddance. No i don't need it to take thirty seconds to boot up my grocery list so that your algorithm can tell me how to most productively plan my day by sorting my grocery list in order of the order I entered each item. I do not need an any.do minute.",1
KimHong,1
I hate this app 😡😤😤 as soon as I downloaded it my phone was hanging 😠😠😠😡😠😡 😠,1
"Monthly fee for Dark mode, really? I could accept a one time payment for such a feature but not monthly.",1
"No Grocery widget, Ridiculous... The task widget is confusing, I just want to be able to add stuff simply on the fly.",1
This app has Malware.,1
"Not happy, app just asked me to 'sign in' and now has deleted all my previous reminders. I had reminders set up for throughout the rest of this year and now I don't know what they were. You've put me off using your app now, what's the point if it's not reliable!!!",1
Not Making an Account!,1
"I was a customer of Any.Do for a while and on March 2020 i clearly asked them NOT to renew my subscription as i found a different company to provide me task manger services - Todoist. More than that - i even consult with Any.Do technical support team how to transfer my database to Todoist and over the phone, i ALSO remind them to cancel it. I received the cancellation notice and I DID NOT ask them to renew/continue any of Any.Do services. More than that - i also have the Invoice from the company i moved my services, Todoist, for the same period of time that Any.Do charged me for. After i tried to contact Any.Do they refused to refund me. Therefore, i let you and everybody to know that I WILL NOT USE ANY OF ANY.DO services anymore and recommend everyone that read this post DO NOT USE ANY.DO SERVICES or you taking a big risk that something like that will happen to you as well.",1
"EVERY service I attempted to connect (Gmail, Gtasks, google calendar,) timed out during setup (oops error). Been 2 days and still no reply from support. Device is Samsung S9 with Android 10.",1
"This app used to be great when paired with Alexa. Every once in awhile the sync would break but disabling the app and relinking the account would fix the issue. This has not been the case for the past several months. Any.do it is no longer syncing with Alexa and based on the reviews of the Alexa app it is affecting a lot of people, has been ongoing for weeks, and there doesn't appear to be a fix coming. Going to give anylist a try to see if it works with Alexa.",1
I dont know..why people appreciate this app..not user friendly...,1
Time setting is so dumb. Fix it,1
SWEETY SWEETY Kumari,1
Not working,1
No integration with created Alexa Lists.,1
You have to pay for all the decent features... There's nothing you want to do that your alarm doesn't already do,1
can't open,1
Hopeless,1
I dont understand how it works. Not very clear on how to use it. And it comstantly showed notifications for anything i made a note of,1
Do not have option to not connect to fb google or email,1
"It's testing the edge of my patience. Even though I have better internet connection it keeps saying ""couldn't find the Internet connection. Try again later"". It's my first time. I can't sign in so I can't go in to the app and plan anything. Already I tried reinstall twice.",1
Please Add UPI feature because I tried many debit cards to get the Premium Versionof this app but any of them was accepted.,2
Lost all my lists when I was forced to give email address. Was good prior to having to start all over.,2
"Many errors, the app is good but sometimes with the recurrent task do not work when I use desktop app it do not sync well and I lose many task and this is unpleasant. Pay for this app with this errors is a bad idea. I do no feel secure with app I lose taks and time. I hope the app get better. And the plan my day would be good if add the tasks in someday",2
"Since last 2 updates I am facing this problem that when I open the app, one or two tasks get shuffled to the top. Then I have to put it again in the planned sequence. This happens almost everytime I open the app.",2
"Updates made it worse. Was using it all the time, and the recent updates made it all confusing and unnecessarily graphically complex. Sorry had to uninstall.",2
Rare,2
Good app but I wish there was a monthly payment option for premium instead of annual.,2
Pushing to hard for premium upgrade. Not interested anymore,2
"Ill join with my fellow reviewers and say that i was very satisfied with the app when i started using it about two years ago, but since then i feel that its functionality and simplicity have been compromised, especially with the newest update that just made the app's interface (via smartphone) completely uncomfortable because i can't see my tasks laid out chronologically in an organized and pleasing way anymore.",2
Whapp integration is bad. Barely anything works. Focus to whapp integration and seeya again,2
"It was good until they updated it and took out the today, someday, upcoming categories out, which is how I organized everything",2
"I found this app difficult to organize in a way that was useful for me. I couldn't separate which items showed up on my phone widget by topic, so it showed all of them which was unnecessary. I also found the reminders to plan my day annoying. It would be better with an improved calendar and prioritizing options. Last, it is extremely frustrating to try and unsubscribe from yearly renewal. It is buried deep in the info and the actual faq for this has a broken link. Super sketchy and rude.",2
"Widget not working. Everytime i checked the next or previous month it'd be lagging and later it was just blank. Love the app but i really need the widget, sorry.",2
no repeat alarm,2
"Why are random items popping up on our Grocery List? Is this your way of advertising? We have purchased unnecessary items that I had never even heard of. Sun Maid Smore Bites? Nope, no one added them on. I love using the app, but this is very deceptive manipulating the grocery lists.",2
"I switched to Any.do when Wunderlist ended. I wanted a simple interface that let me share lists and tasks with my husband. Any.do did that, but in the least efficient way possible. Our initials are the same and tiles aren't customizable, so it was impossible to tell who a task was assigned to. The app always defaulted to tasks even if I had just been using a shopping list. It was a huge pain to navigate. Not what we needed at all.",2
Confused,2
I like this apps but the thing is anything need to pay? So sorry to do list i only gave it 2 star and its so bad 😔,2
Star,2
"The app used to be great, now it's intrusive. I can't get it to stop popping up and inserting itself into my life. Uninstall.",2
"Google login not working at all. Tried 2 accounts, gets stuck at setting up",2
"With the recent upgrade, the phone app arbitrarily deletes things off my to do list or moves them around without me doing it. The app on my desktop is now slower than molasses. It worked great until the upgrade!",2
"Tarefas (Tasks) somem sozinhas e atrasam nos horários em demais semanas pré-definidas. A ideia do aplicativo é boa mas esses problemas o torna praticamente inútil, inviável utilização.",2
Its ok i guess,2
"The app was great until I suddenly lost all my data. I went to launch it after closing it 30 minutes ago, and everything was gone. I had so many tasks and notes in it",2
"App shouldn't enforce sign in for use. Uninstalled. Waste of time. Edit: that sounds like optional functionality for an app labeled to do list! Not a complete blocker to using the app. For a simple ""I need to make a quick note to remind myself of later"" this isn't very good.",2
Not what is expected,2
"Useful app, but it just beeped/popped up a notification advertising some new features. I consider that spam, that's why you're getting the 2 stars.",2
"First day of downloading it, it drained my battery in 6h (both phone and watch). Battery went back to normal once i uninstalled it. Please fix that guys so we can use the app",2
Perhaps the least user friendly app on Playstore. My head is spinning. Why is it so hard to edit the time of reminder?,2
The last update removed grid view and left us with a very odd task interface.,2
This is not free. Paid one. Some features are limited till paid.,2
"Upon making a task, setting time and date by typing them has become absurd! The app understands what it wants and acts by itself. What do you mean 'use natural language'?",2
"Update on 25/8/20 :- worst update ever,, was moderately ok until August update. app totally dewastated. Now it is even lags like hell. Not even able to strike down a task after doing it in one touch 👎👎👎",2
App is good & I am using it since 6 months now BUT NOW A DAYS AUTOMATICALLY SHUTDOWN WHOLE WORKING,2
Got into the help menu by accident. Can't get back to my lists.,2
"I used this app every day for years, but just uninstalled and changed to a different to do list app because of the new layout. The grid was much easier to use and better looking.",2
I have bought it yet it displays ERROR IN VERIFYING MY WHATSAPP INTEGRATION 😡😡😡😡,2
"A lot of basic features locked away behind a pay wall, not very customisable imo . Not the right to-do list app for me.",2
Ok it was good app but all the good feature are in premium no use of downloading if I'm not satisfied why would i pay for a premium one,2
"It duplicates events, often with the incorrect time, and delete events I invite other to. Very aggravating.",2
Constant prompts for trials and upgrades. Super annoying.,2
"My rating is just based on my needs. The app says it has recurring tasks, it does not. It does have recurring reminders for ""on going"" tasks which may be useful in certain applications. The result of which being if you click on a task that you do everyday it puts the next reminder on the list giving the illusion the task was left undone. The exact opposite of what a checklist should do. If you want actual individual repeating tasks or list this is not the app.",2
"Beautifully designed interface, but VERY CLICK-BAITY / PUSHY - I would NOT recommend.",2
"Bare Bones. Integrations are a lie. You have to use a third party app to make it work and Zapier is garbage. Grocery list is kind of cool. Calendar has that annoying Apple style slide that hides evens and is impossible to read instead of traditional blocks. Support button is for bug fixes only, so premium support is also a lie.",2
I'm experiencing issues with the reminder option. Whenever I set a reminder I get neither the notification or the popup which as a result makes me forget things. This issue wasn't there before. What can be done to solve this?,2
Rimnder alram ka bhi option h ya nhi,2
Loved this app but I prefer writing things down,2
Ordinary updates delete reminders,2
Why pay for such simplicity?,2
"For an app that's meant to help me organise my time more effectively, I didn't expect it would take the longest time to boot up compared to all the utility apps on my device... Really nice UI though...",2
Why so expensive? Microsoft Task or reminder offer most of the features that this app has. Could you please decrease the price a little bit? Or give me some discount? Atleast for the first Year?,2
"I like it at lot, but it seems like recently, this v thing is taking out my battery, hogging memory, and using data more than chrome which I use constantly. Until someone can help me figure this out, or if this high usage of phone resources is normal, I can't rate it any higher. I might even have to remove it and search for an alternative.",2
Can't repeat task at custom intervals,2
It stopped showing reminders and notifications!!!!!,2
"Uninstalled. I want a simple reminder app that will put a daily notification in my notification bar, every single day. Nothing else. No other features. But this is so bloated with features, it's impossible to know if it might do this or not.",2
"Couldn't get the hang of it, I want something simple and cheaper to remind me of birthdays and dog to vets etc",2
"Too annoying premium advertising, darkmode is premium only",2
"The app was an okay task organizer at best, although it required internet and was ridden with adds and paywalls for a monthly ""premium"" subscription. Even if they asked for support, id prefer a one time payment of a higher amount like, $5 to unlock all features.",2
Used to be good but now doesn't even notify me (and yes this is with the settings amended accordingly),2
"Some of the sentences on my lists go off the screen, so we need an option to wrap the text when it reaches the right side of the screen. As of June 4, 2017, I can not sign on anymore using samsung galaxy after upgrading to Android 7.0 software. As of 6-19-2020, I never did get any.do to work on my Samsung galaxy s7, but it now works on my Samsung note 8.",2
"You better don't rotate your phone from vertical to horizontal when typing new task, because it will be GONE. Any.Do support team said 2 years ago that it will be fixed, but it's still not. Also I have over 80 tasks and would love to see the search feature and ability to sort tasks by the date of their creation and by the alert date. The search was implemented but I don't know how to use it. Probably it works only on paid version.",2
i liked it because of plan a tree cz i really needed it but it's expensive soo.. k bye,2
The update is annoying. I want to add time on the list. But you just add time tag feature which make the time that i put not being displayed.,2
LAGGIN! cannot open. Tq,2
Recurring reminders are available for free in Google reminder. You can't Monetize the basic functions.,2
For me it frequently stops syncing. I currently can't get it working again. But when it was working it was great.,2
Doesnt work on windows,2
not user friendly.,2
Used to love this app. After the latest update its garbage! Can't turn off the automatic date/time thing that erases what you put in and sends it to that date or time. Will hang onto it for a bit in hopes that a new update will fix this issue. Or at least give the option to turn it off.,2
"The website boasts that any.do is the best grocery list app for Android Wear. Lies. There is no way to view lists on Android Wear, only add tasks. You can view lists on Apple Watch. This is the feature I need and I guess I'll look elsewhere.",2
"Reminder does not pop up on time or in some cases, does not pop up at all",2
I love using this app however when I installed it to one of my phones I cannot login to it. It just keeps closing. I don't know what's wrong. Also I wish the widget would contain date and time of the tasks not just tick marks.,2
"Not the bloody annoying calendar/task widget thing again. You did this once before. I don't want to use your calendar, just the task list so please bring back the option of a widget without the calendar option written at the top. Will use an alternative until I see AnyDo has been updated.",2
"Paywall, even for dark theme. Very disappointed",2
Not yet solved. Cannot log in,2
"I need this app to share tasks real time with my significant other. Unfortunately, when she is adding tasks from iOS, sometimes they do no show up for me. Switching to Microsoft To Do and no problems. Additionally, being able to paste multiple cells from Excel makes MS offering indispensable, something I would sorely miss if I returned to Any.do.",2
useless,2
It can't adjust tasks with real-time line.,2
I actually love this and have use this for a year but the new update is no good at all that I need to edit my review due to the changes...,2
"In a word: clunky. I like the calendar integration, however everything else is basic and clunky. Simply adding a task to a list takes 3 clicks and you CANNOT SET A DATE, TIME, SUBTASKS, OR NOTES UNLESS YOU EXIT OUT OF THE TASK AND GOING BACK TO YOUR LIST. The app is designed to give you as many notifications as it can and constantly advertise the premium version. And whatever you do, DO NOT SIGN UP FOR A FREE TRIAL UNLESS YOU'RE WILLING TO SPEND AN HOUR SEARCHING FOR HOW TO DO SO.",2
"Whuup, sorry, need to pay for unlimited daily task. Nope",2
"Buggy interface. The grocery list feature is fine but the schedule is terrible. It kept changing event details after I saved. I had to go back in and turn off alarms for previously saved events (that I had alarms off). And it would NOT let me create an all day event that was only scheduled one day. No matter how many times I changed the dates it kept including the day before in my ""all day"" event. And then when I would try to edit it, it would change completely to two days before. What a mess.",2
Free version is very limited compared to Ticktick and Microsoft To Do.,2
"I've enjoyed using this app since I got it two weeks ago until recently, when it began crashing when I'd add tasks.",2
"The grocery list is not syncing properly and is missing items that my wife added on her phone. This has caused issues for us where I've missed items when shopping. This is particularly bad considering the current quarantine and the fact that I have to queue up to get into the shop in the first place. I've tested and when I add the item ""snacks"" on my wife's phone they don't appear on my grocery list. I can not recommend this app currently because of this.",2
I mean the app started seeming really nice and has a lot of work put into it but here me out if your looking for a app that is free and dont want to spend $ for daily reminders this is not it but if you dont mind paying like 7 $ this your app and with that 7 dollars you can get cool extra stuff,2
a mess of features that don't serve me; cumbersome UX,2
